,image,subject,scanner,type,view
732,orig/s09-mil-ph-intera-501-mprage-20140514/s09-mil-ph-intera-501-mprage-20140514_z.png,s09,mil-intera-mprage,orig,Axial
733,orig/s09-mil-ph-intera-501-mprage-20140514/s09-mil-ph-intera-501-mprage-20140514_y.png,s09,mil-intera-mprage,orig,Coronal
734,orig/s09-mil-ph-intera-501-mprage-20140514/s09-mil-ph-intera-501-mprage-20140514_x.png,s09,mil-intera-mprage,orig,Sagittal
735,orig/s09-bas-si-avanto-21-mprage-20140518/s09-bas-si-avanto-21-mprage-20140518_z.png,s09,bas-avanto-mprage,orig,Axial
736,orig/s09-bas-si-avanto-21-mprage-20140518/s09-bas-si-avanto-21-mprage-20140518_x.png,s09,bas-avanto-mprage,orig,Sagittal
737,orig/s09-bas-si-avanto-21-mprage-20140518/s09-bas-si-avanto-21-mprage-20140518_y.png,s09,bas-avanto-mprage,orig,Coronal
738,orig/s09-bas-si-avanto-7-mprage-20140518/s09-bas-si-avanto-7-mprage-20140518_x.png,s09,bas-avanto-mprage,orig,Sagittal
739,orig/s09-bas-si-avanto-7-mprage-20140518/s09-bas-si-avanto-7-mprage-20140518_y.png,s09,bas-avanto-mprage,orig,Coronal
740,orig/s09-bas-si-avanto-7-mprage-20140518/s09-bas-si-avanto-7-mprage-20140518_z.png,s09,bas-avanto-mprage,orig,Axial
741,orig/s05-bas-si-skyra-9-t1se-20140518/s05-bas-si-skyra-9-t1se-20140518_z.png,s05,bas-skyra-t1se,orig,Axial
742,orig/s05-bas-si-skyra-9-t1se-20140518/s05-bas-si-skyra-9-t1se-20140518_x.png,s05,bas-skyra-t1se,orig,Sagittal
743,orig/s05-bas-si-skyra-9-t1se-20140518/s05-bas-si-skyra-9-t1se-20140518_y.png,s05,bas-skyra-t1se,orig,Coronal
744,orig/s00-bas-si-prisma-4-t1se-20140518/s00-bas-si-prisma-4-t1se-20140518_x.png,s00,bas-prisma-t1se,orig,Sagittal
745,orig/s00-bas-si-prisma-4-t1se-20140518/s00-bas-si-prisma-4-t1se-20140518_y.png,s00,bas-prisma-t1se,orig,Coronal
746,orig/s00-bas-si-prisma-4-t1se-20140518/s00-bas-si-prisma-4-t1se-20140518_z.png,s00,bas-prisma-t1se,orig,Axial
747,orig/s06-mil-ph-intera-401-sense-20140510/s06-mil-ph-intera-401-sense-20140510_y.png,s06,mil-intera-sense,orig,Coronal
748,orig/s06-mil-ph-intera-401-sense-20140510/s06-mil-ph-intera-401-sense-20140510_x.png,s06,mil-intera-sense,orig,Sagittal
749,orig/s06-mil-ph-intera-401-sense-20140510/s06-mil-ph-intera-401-sense-20140510_z.png,s06,mil-intera-sense,orig,Axial
750,orig/s11-mil-ph-intera-401-sense-20140510/s11-mil-ph-intera-401-sense-20140510_y.png,s11,mil-intera-sense,orig,Coronal
751,orig/s11-mil-ph-intera-401-sense-20140510/s11-mil-ph-intera-401-sense-20140510_x.png,s11,mil-intera-sense,orig,Sagittal
752,orig/s11-mil-ph-intera-401-sense-20140510/s11-mil-ph-intera-401-sense-20140510_z.png,s11,mil-intera-sense,orig,Axial
753,orig/s03-bas-si-prisma-2-mprage-20140518/s03-bas-si-prisma-2-mprage-20140518_x.png,s03,bas-prisma-mprage,orig,Sagittal
754,orig/s03-bas-si-prisma-2-mprage-20140518/s03-bas-si-prisma-2-mprage-20140518_y.png,s03,bas-prisma-mprage,orig,Coronal
755,orig/s03-bas-si-prisma-2-mprage-20140518/s03-bas-si-prisma-2-mprage-20140518_z.png,s03,bas-prisma-mprage,orig,Axial
756,orig/s01-mil-ph-intera-401-sense-20140516/s01-mil-ph-intera-401-sense-20140516_z.png,s01,mil-intera-sense,orig,Axial
757,orig/s01-mil-ph-intera-401-sense-20140516/s01-mil-ph-intera-401-sense-20140516_y.png,s01,mil-intera-sense,orig,Coronal
758,orig/s01-mil-ph-intera-401-sense-20140516/s01-mil-ph-intera-401-sense-20140516_x.png,s01,mil-intera-sense,orig,Sagittal
759,orig/s03-bas-si-avanto-15-t1se-20140518/s03-bas-si-avanto-15-t1se-20140518_z.png,s03,bas-avanto-t1se,orig,Axial
760,orig/s03-bas-si-avanto-15-t1se-20140518/s03-bas-si-avanto-15-t1se-20140518_y.png,s03,bas-avanto-t1se,orig,Coronal
761,orig/s03-bas-si-avanto-15-t1se-20140518/s03-bas-si-avanto-15-t1se-20140518_x.png,s03,bas-avanto-t1se,orig,Sagittal
762,orig/s06-bas-si-skyra-10-t1se-20140518/s06-bas-si-skyra-10-t1se-20140518_z.png,s06,bas-skyra-t1se,orig,Axial
763,orig/s06-bas-si-skyra-10-t1se-20140518/s06-bas-si-skyra-10-t1se-20140518_x.png,s06,bas-skyra-t1se,orig,Sagittal
764,orig/s06-bas-si-skyra-10-t1se-20140518/s06-bas-si-skyra-10-t1se-20140518_y.png,s06,bas-skyra-t1se,orig,Coronal
765,orig/s08-sf-si-skyra-14-mprage-20140311/s08-sf-si-skyra-14-mprage-20140311_x.png,s08,sf-skyra-mprage,orig,Sagittal
766,orig/s08-sf-si-skyra-14-mprage-20140311/s08-sf-si-skyra-14-mprage-20140311_y.png,s08,sf-skyra-mprage,orig,Coronal
767,orig/s08-sf-si-skyra-14-mprage-20140311/s08-sf-si-skyra-14-mprage-20140311_z.png,s08,sf-skyra-mprage,orig,Axial
768,orig/s09-bas-si-skyra-6-mprage-20140518/s09-bas-si-skyra-6-mprage-20140518_z.png,s09,bas-skyra-mprage,orig,Axial
769,orig/s09-bas-si-skyra-6-mprage-20140518/s09-bas-si-skyra-6-mprage-20140518_y.png,s09,bas-skyra-mprage,orig,Coronal
770,orig/s09-bas-si-skyra-6-mprage-20140518/s09-bas-si-skyra-6-mprage-20140518_x.png,s09,bas-skyra-mprage,orig,Sagittal
771,orig/s02-osl-ge-signa-7-fspgr-20140522/s02-osl-ge-signa-7-fspgr-20140522_z.png,s02,osl-signa-fspgr,orig,Axial
772,orig/s02-osl-ge-signa-7-fspgr-20140522/s02-osl-ge-signa-7-fspgr-20140522_x.png,s02,osl-signa-fspgr,orig,Sagittal
773,orig/s02-osl-ge-signa-7-fspgr-20140522/s02-osl-ge-signa-7-fspgr-20140522_y.png,s02,osl-signa-fspgr,orig,Coronal
774,orig/s03-ams-ge-discovery-8-fspgr-20140519/s03-ams-ge-discovery-8-fspgr-20140519_z.png,s03,ams-discovery-fspgr,orig,Axial
775,orig/s03-ams-ge-discovery-8-fspgr-20140519/s03-ams-ge-discovery-8-fspgr-20140519_x.png,s03,ams-discovery-fspgr,orig,Sagittal
776,orig/s03-ams-ge-discovery-8-fspgr-20140519/s03-ams-ge-discovery-8-fspgr-20140519_y.png,s03,ams-discovery-fspgr,orig,Coronal
777,orig/s02-bas-si-prisma-2-mprage-20140518/s02-bas-si-prisma-2-mprage-20140518_x.png,s02,bas-prisma-mprage,orig,Sagittal
778,orig/s02-bas-si-prisma-2-mprage-20140518/s02-bas-si-prisma-2-mprage-20140518_y.png,s02,bas-prisma-mprage,orig,Coronal
779,orig/s02-bas-si-prisma-2-mprage-20140518/s02-bas-si-prisma-2-mprage-20140518_z.png,s02,bas-prisma-mprage,orig,Axial
